,Neighborhood,Price
5137,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,750"
5138,"Oak Square, Brighton, Boston","$2,340"
5139,"Seaport District, D Street - West Broadway, South Boston, Boston","$6,527"
5140,"Seaport District, D Street - West Broadway, South Boston, Boston","$5,183"
5141,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,014"
5142,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,319"
5143,"Jamaica Hills - Pond, Jamaica Plain, Boston","$3,150"
5144,"St. Elizabeth's, Brighton, Boston","$2,999"
5145,"St. Elizabeth's, Brighton, Boston","$1,850"
5146,"South Quincy, Quincy","$2,285"
5147,"Mission Hill, Boston","$3,440"
5148,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,720"
5149,"Cambridgeport, Cambridge","$3,240"
5150,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,395"
5151,"Commonwealth, Brighton, Boston","$3,600"
5152,"West End, Boston","$2,450"
5153,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,366"
5154,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,142"
5155,"D Street - West Broadway, South Boston, Boston","$4,390"
5156,"D Street - West Broadway, South Boston, Boston","$3,055"
5157,"D Street - West Broadway, South Boston, Boston","$4,630"
5158,"North End, Boston","$3,350"
5159,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,950"
5160,"Prudential - St. Botolph, Back Bay, Boston","$3,470"
5161,"D Street - West Broadway, South Boston, Boston","$2,450"
5162,"Washington Square, Brookline","$1,950"
5163,"Ferryway, Malden","$3,800"
5164,"Washington Square, Brookline","$3,400"
5165,"East Cambridge, Cambridge","$3,200"
5166,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,825"
5167,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,245"
5168,"Coolidge Corner, Brookline","$3,800"
5169,"Coolidge Corner, Brookline","$2,450"
5170,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,500"
5171,"Back Bay West, Back Bay, Boston","$2,700"
5172,"Coolidge Corner, Brookline","$2,550"
5173,"Chestnut Hill, Newton","$2,400"
5174,"Commonwealth, Brighton, Boston","$1,525"
5175,"Strawberry Hill, Cambridge","$2,559"
5176,Canton,"$2,300"
5177,"East Arlington, Arlington","$2,300"
5178,"Riverside, Cambridge","$2,640"
5179,"Coolidge Corner, Boston","$1,500"
5180,"Downtown Boston, Boston","$4,400"
5181,"Meeting House Hill, Dorchester, Boston","$2,600"
5182,"Jeffries Point - Airport, East Boston, Boston","$2,600"
5183,"Mission Hill, Boston","$4,500"
5184,"Downtown Boston, Boston","$2,695"
5185,"Commonwealth, Brighton, Boston","$2,300"
5186,"D Street - West Broadway, South Boston, Boston","$3,500"
5187,"Newton Highlands, Newton","$2,150"
5188,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,000"
5189,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,950"
5190,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,825"
5191,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,075"
5192,"Chinatown - Leather District, Boston","$3,505"
5193,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,650"
5194,"Mid-Cambridge, Cambridge","$2,700"
5195,"Mid-Cambridge, Cambridge","$3,000"
5196,"Mid-Cambridge, Cambridge","$2,700"
5197,"Mid-Cambridge, Cambridge","$2,550"
5198,"Beacon Hill, Boston","$2,800"
5199,"West End, Boston","$3,505"
5200,"St. Elizabeth's, Brighton, Boston","$2,969"
5201,"Back Bay East, Back Bay, Boston","$2,800"
5202,"Beacon Hill, Boston","$2,750"
5203,"Cambridgeport, Cambridge","$3,549"
5204,"Magoun Square, Somerville","$3,100"
5205,"East Cambridge, Cambridge","$1,600"
5206,"Huron Village, West Cambridge, Cambridge","$1,650"
5207,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,904"
5208,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,113"
5209,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,113"
5210,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,896"
5211,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,910"
5212,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,896"
5213,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,100"
5214,"Inman Square, Somerville","$2,700"
5215,"Spring Hill, Somerville","$1,800"
5216,"Downtown Woburn, Woburn","$1,500"
5217,"West End, Boston","$3,400"
5218,"Ten Hills, Somerville","$3,300"
5219,"South Quincy, Quincy","$2,315"
5220,"Neighborhood Nine, Cambridge","$2,120"
5221,"D Street - West Broadway, South Boston, Boston","$2,975"
5222,"South Medford, Medford","$2,100"
5223,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,795"
5224,"South Medford, Medford","$2,625"
5225,"South Weymouth, Weymouth Town","$1,600"
5226,"D Street - West Broadway, South Boston, Boston","$2,730"
5227,"Mission Hill, Boston","$2,300"
5228,"Back Bay West, Back Bay, Boston","$1,895"
5229,"Hyde Square, Jamaica Plain, Boston","$2,900"
5230,"St. Elizabeth's, Brighton, Boston","$2,400"
5231,"North Cambridge, Cambridge","$3,700"
5232,"St. Elizabeth's, Brighton, Boston","$2,995"
5233,"Allston, Boston","$2,750"
5234,"West End, Boston","$4,235"
5235,"West End, Boston","$2,530"
5236,"West End, Boston","$3,015"
5237,"West End, Boston","$3,510"
5238,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,175"
5239,"Hyde Square, Jamaica Plain, Boston","$3,600"
5240,"North End, Boston","$3,425"
5241,"South Quincy, Quincy","$1,870"
5242,"Back Bay West, Back Bay, Boston","$2,450"
5243,"West End, Boston","$2,530"
5244,"Lower East Mills - Cedar Grove, Dorchester, Boston","$1,800"
5245,"St. Elizabeth's, Brighton, Boston","$1,595"
5246,"St. Elizabeth's, Brighton, Boston","$1,950"
5247,"Oak Square, Brighton, Boston","$2,150"
5248,"St. Elizabeth's, Brighton, Boston","$3,750"
5249,"Harvard Square, Cambridge","$1,900"
5250,"Neponset - Port Norfolk, Dorchester, Boston","$3,800"
5251,"Oak Grove, Malden","$1,250"
5252,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950"
5253,"D Street - West Broadway, South Boston, Boston","$2,387"
5254,"Ward Two, Somerville","$2,400"
5255,"Oak Square, Brighton, Boston","$3,400"
5256,"Mission Hill, Boston","$1,700"
5257,"North End, Boston","$2,200"
5258,"Strawberry Hill, Cambridge","$2,208"
5259,"North Quincy, Quincy","$1,500"
5260,"St. Elizabeth's, Brighton, Boston","$3,450"
5261,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,276"
5262,"Ten Hills, Somerville","$3,485"
5263,"Meeting House Hill, Dorchester, Boston","$2,600"
5264,"Downtown Boston, Boston","$2,995"
5265,"Strawberry Hill, Cambridge","$3,120"
5266,"Davis Square, Somerville","$3,800"
5267,"South Braintree, Braintree Town","$1,830"
5268,"Highland Park, Roxbury, Boston","$2,300"
5269,"St. Elizabeth's, Brighton, Boston","$3,450"
5270,"Columbia Point, Dorchester, Boston","$2,300"
5271,"East Watertown, Watertown","$4,750"
5272,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,600"
5273,"Chestnut Hill, Newton","$4,500"
5274,"West End, Boston","$3,400"
5275,"West End, Boston","$2,570"
5276,"St. Elizabeth's, Brighton, Boston","$2,999"
5277,"Back Bay East, Back Bay, Boston","$3,100"
5278,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,900"
5279,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,295"
5280,"Back Bay East, Back Bay, Boston","$6,250"
5281,"Bentley College, Waltham","$2,100"
5282,"Washington Square, Brookline","$2,225"
5283,"South Quincy, Quincy","$1,800"
5284,"Neighborhood Nine, Cambridge","$2,430"
5285,"Spring Hill, Somerville","$1,850"
5286,"South Quincy, Quincy","$2,285"
5287,"Back Bay East, Back Bay, Boston","$2,800"
5288,"Back Bay East, Back Bay, Boston","$3,100"
5289,"West End, Boston","$3,020"
5290,"Cambridgeport, Cambridge","$3,240"
5291,"Mission Hill, Boston","$4,199"
5292,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,000"
5293,"Oak Square, Brighton, Boston","$2,900"
5294,"Back Bay East, Back Bay, Boston","$3,100"
5295,"Bay Village, Boston","$1,515"
5296,"Strawberry Hill, Cambridge","$2,013"
5297,"D Street - West Broadway, South Boston, Boston","$3,392"
5298,"Commonwealth, Brighton, Boston","$1,800"
5299,"Downtown Boston, Boston","$4,065"
5300,"D Street - West Broadway, South Boston, Boston","$2,265"
5301,"Cambridgeport, Cambridge","$3,240"
5302,"North Cambridge, Cambridge","$3,400"
5303,"Oak Square, Brighton, Boston","$1,800"
5304,"Winter Hill, Somerville","$1,825"
5305,"Mission Hill, Boston","$3,400"
5306,"D Street - West Broadway, South Boston, Boston","$4,000"
5307,"Neighborhood Nine, Cambridge","$3,450"
5308,"St. Elizabeth's, Brighton, Boston","$1,700"
5309,"North End, Boston","$2,700"
5310,"North End, Boston","$2,695"
5311,"Coolidge Corner, Brookline","$2,950"
5312,"Lower Roxbury, Roxbury, Boston","$2,195"
5313,"South Quincy, Quincy","$1,870"
5314,"Chinatown - Leather District, Boston","$3,780"
5315,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,875"
5316,"Downtown Boston, Boston","$3,235"
5317,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,600"
5318,"Coolidge Corner, Brookline","$1,775"
5319,"Commonwealth, Brighton, Boston","$2,600"
5320,"West End, Boston","$2,840"
5321,"Commonwealth, Brighton, Boston","$2,050"
5322,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,200"
5323,"Oak Square, Brighton, Boston","$2,700"
5324,"North End, Boston","$2,700"
5325,"Mission Hill, Boston","$4,900"
5326,"Commonwealth, Brighton, Boston","$4,350"
5327,"Metropolitan Hill - Beach Street, Roslindale, Boston","$2,500"
5328,"East Cambridge, Cambridge","$3,000"
5329,"Washington Square, Boston","$3,775"
5330,"St. Elizabeth's, Brighton, Boston","$3,600"
5331,"North Cambridge, Cambridge","$3,700"
5332,"St. Elizabeth's, Brighton, Boston","$2,100"
5333,"Commonwealth, Brighton, Boston","$1,900"
5334,"Back Bay West, Back Bay, Boston","$2,700"
5335,"Prudential - St. Botolph, Back Bay, Boston","$1,895"
5336,"North End, Boston","$3,400"
5337,"Prospect Hill, Somerville","$5,000"
5338,"Allston, Boston","$1,750"
5339,"Commonwealth, Brighton, Boston","$4,900"
5340,"East Arlington, Arlington","$2,300"
5341,"Riverside, Cambridge","$3,000"
5342,"Downtown Boston, Boston","$5,689"
5343,"West End, Boston","$2,715"
5344,"Commonwealth, Brighton, Boston","$2,050"
5345,"Nonantum, Newton","$2,200"
5346,Woburn,"$2,219"
5347,"West End, Boston","$2,360"
5348,"North End, Boston","$2,925"
5349,"Central Maverick Square - Paris Street, East Boston, Boston","$2,200"
5350,"Beacon Hill, Boston","$2,750"
5351,"Neighborhood Nine, Cambridge","$4,500"
5352,"Bank Square, Waltham","$2,775"
5353,"St. Elizabeth's, Brighton, Boston","$2,610"
5354,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,840"
5355,"Arlington Center, Arlington","$2,685"
5356,"Arlington Center, Arlington","$2,542"
5357,"Coolidge Corner, Brookline","$8,900"
5358,"Back Bay East, Back Bay, Boston","$3,300"
5359,"Downtown Boston, Boston","$2,955"
5360,"Coolidge Corner, Brookline","$1,750"
5361,"Wellington, Medford","$2,280"
5362,"Ward Two, Somerville","$3,200"
5363,"St. Elizabeth's, Brighton, Boston","$1,550"
5364,"St. Elizabeth's, Brighton, Boston","$2,850"
5365,"Cambridgeport, Cambridge","$3,049"
5366,"Coolidge Corner, Brookline","$4,700"
5367,"Allston, Boston","$4,250"
5368,"Lower Roxbury, Roxbury, Boston","$2,200"
5369,"Oak Square, Brighton, Boston","$2,150"
5370,"Neighborhood Nine, Cambridge","$4,995"
5371,"Neighborhood Nine, Cambridge","$2,260"
5372,"Nonantum, Newton","$2,650"
5373,"St. Elizabeth's, Brighton, Boston","$3,500"
5374,"Washington Square, Brookline","$1,850"
5375,"North Cambridge, Cambridge","$3,350"
5376,"Oak Square, Brighton, Boston","$2,900"
5377,"Franklin Field North, Greater Mattapan, Boston","$2,600"
5378,"Mission Hill, Boston","$3,500"
5379,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,900"
5380,"Downtown Boston, Boston","$3,805"
5381,"Egleston Square, Jamaica Plain, Boston","$3,495"
5382,"Watertown West End, Watertown","$3,395"
5383,"Cambridgeport, Cambridge","$3,610"
5384,"Harrison Lenox, South End, Boston","$2,650"
5385,"Mission Hill, Boston","$4,800"
5386,"Chinatown - Leather District, Boston","$3,615"
5387,"D Street - West Broadway, South Boston, Boston","$3,130"
5388,"Downtown Boston, Boston","$2,924"
5389,"Neighborhood Nine, Cambridge","$2,430"
5390,"Back Bay East, Back Bay, Boston","$4,700"
5391,"Medford Street - The Neck, Charlestown, Boston","$3,000"
5392,"South Medford, Medford","$3,500"
5393,"Coolidge Corner, Brookline","$4,100"
5394,"Newton Highlands, Newton","$2,995"
5395,"Wellington - Harrington, Cambridge","$4,250"
5396,"Columbia Point, Dorchester, Boston","$2,500"
5397,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,252"
5398,"Coolidge Corner, Brookline","$2,295"
5399,"Commonwealth, Brighton, Boston","$2,250"
5400,"Washington Square, Brookline","$3,300"
5401,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850"
5402,"St. Elizabeth's, Brighton, Boston","$4,500"
5403,"Oak Square, Brighton, Boston","$2,900"
5404,"Ten Hills, Somerville","$3,485"
5405,"St. Elizabeth's, Brighton, Boston","$3,600"
5406,"Waterfront, North End, Boston","$2,600"
5407,"St. Elizabeth's, Brighton, Boston","$4,000"
5408,"East Cambridge, Cambridge","$3,100"
5409,"West End, Boston","$2,360"
5410,"Commonwealth, Brighton, Boston","$1,700"
5411,Westwood,"$2,295"
5412,"Coolidge Corner, Brookline","$4,800"
5413,"Highland Park, Roxbury, Boston","$3,595"
5414,"Cambridgeport, Cambridge","$3,431"
5415,"North Cambridge, Cambridge","$2,200"
5416,"Spring Hill, Somerville","$2,000"
5417,"West End, Boston","$3,690"
5418,"West End, Boston","$3,510"
5419,"West End, Boston","$4,235"
5420,"Brattle, Arlington","$2,100"
5421,"West Somerville, Somerville","$2,600"
5422,"Coolidge Corner, Brookline","$3,600"
5423,"Strawberry Hill, Cambridge","$2,634"
5424,"Broadway, Chelsea","$1,900"
5425,"Downtown Boston, Boston","$4,045"
5426,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,335"
5427,"Medford Street - The Neck, Charlestown, Boston","$2,366"
5428,"North End, Boston","$2,700"
5429,"Chinatown - Leather District, Boston","$2,125"
5430,"Chinatown - Leather District, Boston","$2,425"
5431,"Chinatown - Leather District, Boston","$2,000"
5432,"Washington Park, Roxbury, Boston","$2,395"
5433,"South Medford, Medford","$3,000"
5434,"Faulkner, Maplewood, Malden","$2,399"
5435,"Faulkner, Maplewood, Malden","$2,058"
5436,"St. Elizabeth's, Brighton, Boston","$2,050"
5437,"Porter Square, Cambridge","$5,300"
5438,"Tufts University, Medford Hillside, Somerville","$3,200"
5439,"Mission Hill, Boston","$1,899"
5440,"Mission Hill, Boston","$2,500"
5441,"Waterfront, North End, Boston","$2,450"
5442,"West Somerville, Somerville","$3,600"
5443,"North End, Boston","$2,875"
5444,"North End, Boston","$3,050"
5445,"Mission Hill, Boston","$3,400"
5446,"Neighborhood Nine, Cambridge","$3,200"
5447,"Neighborhood Nine, Cambridge","$2,260"
5448,"Lower Roxbury, Roxbury, Boston","$2,700"
5449,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,650"
5450,"Downtown Boston, Boston","$2,924"
5451,"Wellington Hill, Greater Mattapan, Boston","$2,995"
5452,"D Street - West Broadway, South Boston, Boston","$1,900"
5453,"Commonwealth, Brighton, Boston","$2,050"
5454,"Cambridgeport, Cambridge","$4,900"
5455,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,775"
5456,"Riverside, Cambridge","$3,300"
5457,"Mid-Cambridge, Cambridge","$2,700"
5458,"Cushing Square, Belmont","$1,800"
5459,"West End, Boston","$3,020"
5460,"West End, Boston","$3,400"
5461,"West End, Boston","$2,820"
5462,"Back Bay East, Back Bay, Boston","$3,300"
5463,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,875"
5464,"Chinatown - Leather District, Boston","$3,410"
5465,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950"
5466,"Highland Park, Roxbury, Boston","$4,500"
5467,"West End, Boston","$2,900"
5468,"West End, Boston","$3,070"
5469,"Hyde Square, Jamaica Plain, Boston","$2,495"
5470,"Beacon Hill, Boston","$2,650"
5471,"North End, Boston","$3,050"
5472,"Arlington Center, Arlington","$2,240"
5473,"Industrial Park, Somerville","$2,249"
5474,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,835"
5475,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,715"
5476,"Mid-Cambridge, Cambridge","$2,650"
5477,"North End, Boston","$3,400"
5478,"Coolidge Corner, Brookline","$3,600"
5479,"Cambridgeport, Cambridge","$3,049"
5480,"Cambridgeport, Cambridge","$3,905"
5481,"Southern Mattapan, Greater Mattapan, Boston","$2,300"
5482,"West End, Boston","$3,070"
5483,"Spring Hill, Somerville","$1,700"
5484,"Coolidge Corner, Brookline","$5,500"
5485,"Spring Hill, Somerville","$1,950"
5486,"Neighborhood Nine, Cambridge","$2,985"
5487,"Back Bay East, Back Bay, Boston","$4,650"
5488,"Medford Street - The Neck, Charlestown, Boston","$3,000"
5489,"Oak Square, Brighton, Boston","$2,800"
5490,"North End, Boston","$6,500"
5491,"D Street - West Broadway, South Boston, Boston","$4,390"
5492,"Davis Square, Somerville","$1,810"
5493,"South Quincy, Quincy","$1,825"
5494,"West Codman Hill - West Lower Mills, Dorchester, Boston","$2,500"
5495,"Eagle Hill, East Boston, Boston","$2,800"
5496,"Oak Square, Brighton, Boston","$3,150"
5497,"North End, Boston","$3,700"
5498,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,715"
5499,"D Street - West Broadway, South Boston, Boston","$2,950"
5500,"Mission Hill, Boston","$3,650"
5501,"Inman Square, Cambridge","$2,400"
5502,"Oak Square, Brighton, Boston","$3,150"
5503,"Back Bay East, Back Bay, Boston","$4,300"
5504,"Chinatown - Leather District, Boston","$2,782"
5505,"D Street - West Broadway, South Boston, Boston","$2,880"
5506,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,750"
5507,"East Cambridge, Cambridge","$3,775"
5508,"Downtown Boston, Boston","$6,590"
5509,"Davis Square, Somerville","$1,850"
5510,"South Medford, Medford","$2,050"
5511,"Downtown Boston, Boston","$2,975"
5512,"Chinatown - Leather District, Boston","$2,000"
5513,"Cambridge Highlands, Cambridge","$2,800"
5514,"Belingham Square, Chelsea","$3,250"
5515,"Mission Hill, Boston","$2,300"
5516,"Mission Hill, Boston","$1,875"
5517,"St. Elizabeth's, Brighton, Boston","$2,800"
5518,"West End, Boston","$2,715"
5519,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,950"
5520,"Franklin Field North, Greater Mattapan, Boston","$2,500"
5521,"Lower Roxbury, Roxbury, Boston","$3,000"
5522,"Coolidge Corner, Boston","$1,750"
5523,"Lower Roxbury, Roxbury, Boston","$2,700"
5524,"St. Elizabeth's, Brighton, Boston","$1,845"
5525,"Harvard Square, Cambridge","$3,690"
5526,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550"
5527,"Downtown Boston, Boston","$5,845"
5528,"Prudential - St. Botolph, Back Bay, Boston","$6,955"
5529,"Cambridgeport, Cambridge","$2,398"
5530,"Tufts University, Medford Hillside, Medford","$3,600"
5531,"Cambridgeport, Cambridge","$2,400"
5532,"North End, Boston","$3,300"
5533,"Cambridgeport, Cambridge","$3,049"
5534,"Cambridgeport, Cambridge","$3,650"
5535,"Cambridgeport, Cambridge","$3,939"
5536,"Cambridgeport, Cambridge","$3,095"
5537,"South Medford, Medford","$4,000"
5538,"Commonwealth, Brighton, Boston","$3,100"
5539,"Waterfront, North End, Boston","$3,600"
5540,"Commonwealth, Brighton, Boston","$2,235"
5541,"Lower Roxbury, Roxbury, Boston","$3,000"
5542,"North End, Boston","$3,000"
5543,"Watertown West End, Watertown","$3,595"
5544,"South Medford, Medford","$4,000"
5545,"Crescent Beach, Revere","$2,200"
5546,"Chinatown - Leather District, Boston","$2,025"
5547,"Chinatown - Leather District, Boston","$1,950"
5548,"Chinatown - Leather District, Boston","$1,950"
5549,"St. Elizabeth's, Brighton, Boston","$2,999"
5550,"Commonwealth, Brighton, Boston","$2,700"
5551,"St. Elizabeth's, Brighton, Boston","$3,100"
5552,"Bank Square, Waltham","$2,855"
5553,"Bank Square, Waltham","$2,685"
5554,"Maplewood Highlands, Maplewood, Malden","$3,000"
5555,"West Somerville, Somerville","$3,800"
5556,"Waverley Square, Watertown Town","$2,400"
5557,"Huron Village, West Cambridge, Cambridge","$3,700"
5558,"Commonwealth, Brighton, Boston","$4,500"
5559,"Medical Center Area, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,915"
5560,"Strawberry Hill, Cambridge","$2,208"
5561,"Strawberry Hill, Cambridge","$2,208"
5562,"East Cambridge, Cambridge","$3,565"
5563,"East Cambridge, Cambridge","$3,390"
5564,"Coolidge Corner, Brookline","$2,950"
5565,"Commonwealth, Brighton, Boston","$2,225"
5566,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550"
5567,"Back Bay West, Back Bay, Boston","$2,200"
5568,"Aggasiz - Harvard University, Cambridge","$2,395"
5569,"Prudential - St. Botolph, Back Bay, Boston","$3,540"
5570,"Mid-Cambridge, Cambridge","$2,550"
5571,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,450"
5572,"South Braintree, Braintree Town","$1,845"
5573,"West End, Boston","$4,285"
5574,"Lower Roxbury, Roxbury, Boston","$1,890"
5575,"Telegraph Hill, South Boston, Boston","$3,500"
5576,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,900"
5577,"West End, Boston","$2,570"
5578,"St. Elizabeth's, Brighton, Boston","$2,999"
5579,"St. Elizabeth's, Brighton, Boston","$2,850"
5580,"Back Bay West, Back Bay, Boston","$2,200"
5581,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,400"
5582,"Highland Park, Roxbury, Boston","$3,750"
5583,"Sav-Mor, Roxbury, Boston","$1,900"
5584,"Allston, Boston","$2,350"
5585,"Coolidge Corner, Brookline","$5,500"
5586,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,835"
5587,"Franklin Field South, Greater Mattapan, Boston","$2,300"
5588,"Hyde Square, Jamaica Plain, Boston","$3,600"
5589,"Chinatown - Leather District, Boston","$3,932"
5590,"St. Elizabeth's, Brighton, Boston","$2,969"
5591,"Cambridgeport, Cambridge","$3,186"
5592,"Cambridgeport, Cambridge","$3,613"
5593,"Ward Two, Somerville","$2,800"
5594,"Neponset - Port Norfolk, Dorchester, Boston","$2,000"
5595,"South Quincy, Quincy","$2,285"
5596,"South Quincy, Quincy","$2,280"
5597,"Washington Square, Brookline","$2,225"
5598,"Brookline Village, Brookline","$1,950"
5599,"Columbus, South End, Boston","$3,100"
5600,"St. Elizabeth's, Brighton, Boston","$1,525"
5601,"Mission Hill, Boston","$2,150"
5602,"Cambridgeport, Cambridge","$3,534"
5603,"Brattle, Arlington","$2,405"
5604,"Downtown Boston, Boston","$3,955"
5605,"Brookline Village, Brookline","$4,100"
5606,"Downtown Boston, Boston","$2,924"
5607,"D Street - West Broadway, South Boston, Boston","$3,000"
5608,"Allston, Boston","$5,200"
5609,"Commonwealth, Brighton, Boston","$2,550"
5610,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,351"
5611,"Medford Street - The Neck, Charlestown, Boston","$2,555"
5612,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,770"
5613,"North End, Boston","$1,900"
5614,"Chinatown - Leather District, Boston","$2,050"
5615,"Chinatown - Leather District, Boston","$2,150"
5616,"Cambridge Highlands, Cambridge","$2,400"
5617,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,695"
5618,"North Cambridge, Cambridge","$3,400"
5619,"Neighborhood Nine, Cambridge","$2,370"
5620,"Washington Square, Brookline","$1,850"
5621,"Hyde Square, Jamaica Plain, Boston","$2,850"
5622,"Cambridgeport, Cambridge","$2,200"
5623,"Coolidge Corner, Brookline","$3,850"
5624,"Chinatown - Leather District, Boston","$2,700"
5625,"Cambridgeport, Cambridge","$3,385"
5626,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,175"
5627,"Coolidge Corner, Brookline","$3,500"
5628,"Cambridgeport, Cambridge","$2,725"
5629,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,825"
5630,"Cambridgeport, Cambridge","$3,641"
5631,"Downtown Boston, Boston","$4,700"
5632,"North Allston, Allston, Boston","$2,700"
5633,"West Codman Hill - West Lower Mills, Dorchester, Boston","$1,600"
5634,"Brookline Village, Brookline","$4,100"
5635,"D Street - West Broadway, South Boston, Boston","$2,880"
5636,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100"
5637,"Downtown Boston, Boston","$4,565"
5638,"West Somerville, Medford","$2,000"
5639,"North End, Boston","$2,850"
5640,"Columbus Park - Andrew Square, South Boston, Boston","$2,200"
5641,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400"
5642,"North End, Boston","$3,790"
5643,"Nonantum, Newton","$2,650"
5644,"Commonwealth, Brighton, Boston","$3,000"
5645,"Beacon Hill, Boston","$3,000"
5646,"South Medford, Medford","$4,000"
5647,"Commonwealth, Brighton, Boston","$1,900"
5648,"Beacon Hill, Boston","$3,000"
5649,"Cambridgeport, Cambridge","$2,550"
5650,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,715"
5651,"Linden, Maplewood, Malden","$1,340"
5652,"Cambridge Highlands, Cambridge","$2,300"
5653,"Teele Square, Somerville","$2,100"
5654,"North End, Boston","$3,690"
5655,"East Watertown, Watertown","$2,285"
5656,"Downtown Boston, Boston","$2,095"
5657,"North End, Boston","$3,300"
5658,"Cambridgeport, Cambridge","$3,610"
5659,"Highland Park, Roxbury, Boston","$2,300"
5660,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,095"
5661,"Downtown Lowell, Lowell","$1,000"
5662,"Davis Square, Somerville","$1,750"
5663,"North Weymouth, Weymouth Town","$1,300"
5664,"Cambridgeport, Cambridge","$2,906"
5665,"Spring Hill, Somerville","$1,850"
5666,"Spring Hill, Somerville","$2,000"
5667,"St. Elizabeth's, Brighton, Boston","$3,500"
5668,"Nonantum, Newton","$2,200"
5669,"South Side, Waltham","$3,475"
5670,Needham,"$2,650"
5671,"Prudential - St. Botolph, Back Bay, Boston","$6,700"
5672,"Prudential - St. Botolph, Back Bay, Boston","$5,535"
