,Neighborhood,Price
166,"Neighborhood Nine, Cambridge","$3,000"
167,"Columbus, South End, Boston","$3,100"
168,"Chestnut Hill, Newton","$4,800"
169,"Chestnut Hill, Newton","$4,600"
170,"Bay Village, Boston","$6,905"
171,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,383"
172,"Bay Village, Boston","$5,705"
173,"Downtown Boston, Boston","$5,810"
174,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$6,525"
175,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,958"
176,"St. Elizabeth's, Brighton, Boston","$2,150"
177,"Jamaica Central - South Sumner, Jamaica Plain, Boston","$4,500"
178,"Neighborhood Nine, Cambridge","$1,850"
179,"Coolidge Corner, Brookline","$2,795"
180,"Coolidge Corner, Brookline","$2,795"
181,"Downtown Boston, Boston","$3,335"
182,"St. Elizabeth's, Brighton, Boston","$1,895"
183,"East Somerville, Somerville","$2,200"
184,"Downtown Boston, Boston","$3,839"
185,"St. Elizabeth's, Brighton, Boston","$1,975"
186,"Commonwealth, Brighton, Boston","$2,100"
187,"Chinatown - Leather District, Boston","$3,998"
188,"Washington Square, Brookline","$2,100"
189,"Commonwealth, Brighton, Boston","$1,900"
190,"Commonwealth, Brighton, Boston","$1,900"
191,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,831"
192,"Coolidge Corner, Brookline","$2,795"
193,"Coolidge Corner, Brookline","$2,795"
194,"Coolidge Corner, Brookline","$2,795"
195,"North End, Boston","$3,175"
196,"Mission Hill, Boston","$1,700"
197,"Chestnut Hill, Newton","$4,500"
198,"Downtown Boston, Boston","$6,400"
199,"Oak Square, Brighton, Boston","$2,700"
200,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600"
201,"Chestnut Hill, Newton","$5,700"
202,"Newton Corner, Newton","$1,850"
203,"Newton Center, Newton","$2,800"
204,"Commonwealth, Brighton, Boston","$1,800"
205,"Coolidge Corner, Brookline","$1,500"
206,"Washington Square, Brookline","$1,950"
207,"Oak Square, Brighton, Boston","$2,150"
208,"Coolidge Corner, Brookline","$2,300"
209,"Newton Center, Newton","$2,400"
210,"Coolidge Corner, Brookline","$1,500"
211,"Newton Highlands, Newton","$5,500"
212,"Commonwealth, Brighton, Boston","$2,300"
213,"Washington Square, Brookline","$1,950"
214,"Commonwealth, Brighton, Boston","$1,900"
215,"Newton Corner, Newton","$3,600"
216,"Commonwealth, Brighton, Boston","$2,100"
217,"St. Elizabeth's, Brighton, Boston","$2,100"
218,"St. Elizabeth's, Brighton, Boston","$2,150"
219,"Downtown Boston, Boston","$3,295"
220,"Tufts University, Medford Hillside, Somerville","$3,800"
221,"Newton Corner, Newton","$3,950"
222,"Coolidge Corner, Brookline","$2,100"
223,"Coolidge Corner, Brookline","$2,100"
224,"Chinatown - Leather District, Boston","$5,138"
225,"Commonwealth, Brighton, Boston","$2,225"
226,"St. Elizabeth's, Brighton, Boston","$1,775"
227,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300"
228,"Tufts University, Medford Hillside, Somerville","$2,100"
229,"Seaport District, D Street - West Broadway, South Boston, Boston","$5,705"
230,"Coolidge Corner, Brookline","$2,195"
231,"Oak Square, Brighton, Boston","$2,200"
232,"Commonwealth, Brighton, Boston","$2,995"
233,"Commonwealth, Brighton, Boston","$2,135"
234,"Commonwealth, Brighton, Boston","$1,895"
235,"Coolidge Corner, Brookline","$1,925"
236,"Commonwealth, Brighton, Boston","$2,250"
237,"Coolidge Corner, Brookline","$2,295"
238,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,706"
239,"Commonwealth, Brighton, Boston","$1,700"
240,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,447"
241,"Downtown Boston, Boston","$2,965"
242,"Mission Hill, Boston","$1,600"
243,"Mission Hill, Boston","$1,600"
244,"Jamaica Hills - Pond, Jamaica Plain, Boston","$4,000"
245,"Allston, Boston","$1,875"
246,"Washington Square, Brookline","$1,900"
247,"Coolidge Corner, Brookline","$2,045"
248,"Allston, Boston","$2,299"
249,"Newtonville, Newton","$2,400"
250,"Nonantum, Watertown","$2,600"
251,"North End, Boston","$3,795"
252,"St. Elizabeth's, Brighton, Boston","$1,795"
253,"St. Elizabeth's, Brighton, Boston","$1,845"
254,"Brookline Village, Brookline","$1,900"
255,"St. Elizabeth's, Brighton, Boston","$1,925"
256,"West Newton, Newton","$2,350"
257,"Allston, Boston","$1,650"
258,"D Street - West Broadway, South Boston, Boston","$3,729"
259,"Oak Square, Brighton, Boston","$2,700"
260,"Oak Square, Brighton, Boston","$2,700"
261,"Oak Square, Brighton, Boston","$1,650"
262,"Oak Hill, Newton","$4,950"
263,"Nonantum, Newton","$2,750"
264,"Newton Upper Falls, Newton","$1,675"
265,"Thompsonville, Newton","$2,200"
266,"Commonwealth, Brighton, Boston","$2,050"
267,"Washington Square, Brookline","$2,446"
268,"Newton Corner, Newton","$2,100"
269,"Coolidge Corner, Boston","$1,850"
270,"Coolidge Corner, Boston","$2,185"
271,"Newton Highlands, Newton","$3,500"
272,"Mid-Cambridge, Cambridge","$2,600"
273,"Newton Highlands, Newton","$2,400"
274,"Coolidge Corner, Brookline","$2,295"
275,"Commonwealth, Brighton, Boston","$1,720"
276,"Coolidge Corner, Boston","$1,750"
277,"Commonwealth, Brighton, Boston","$1,900"
278,"St. Elizabeth's, Brighton, Boston","$2,135"
279,"Commonwealth, Brighton, Boston","$1,975"
280,"Commonwealth, Brighton, Boston","$2,200"
281,"Commonwealth, Brighton, Boston","$2,300"
282,"Auburndale, Newton","$1,950"
283,"Auburndale, Newton","$1,950"
284,"Auburndale, Newton","$1,950"
285,"Newton Corner, Newton","$3,600"
286,"Auburndale, Newton","$1,750"
287,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,301"
288,"Commonwealth, Brighton, Boston","$1,725"
289,"Commonwealth, Brighton, Boston","$2,150"
290,"St. Elizabeth's, Brighton, Boston","$2,200"
291,"Commonwealth, Brighton, Boston","$2,275"
292,"Newton Corner, Newton","$2,800"
293,"Commonwealth, Brighton, Boston","$2,300"
294,"West Revere, Revere","$1,650"
